City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
15,Indiana,IN,Indianapolis,1/1/2016,1397,117379.5,2.93,725.9898654916179,645.3243248814382,3.65,483.2673707248642,429.57099619987923
15,Indiana,IN,Indianapolis,1/1/2017,1437,127929.5,3.28,810.7083928010804,720.6296824898493,3.99,549.0159308628291,488.0141607669592
15,Indiana,IN,Indianapolis,1/1/2018,1455,140086.5,4.0,932.5826333177517,828.9623407268904,4.54,641.8179417148272,570.5048370798464
15,Indiana,IN,Indianapolis,1/1/2019,1550,150651.0,3.39,961.9723490819497,855.0865325172887,3.94,642.6266010255731,571.223645356065
15,Indiana,IN,Indianapolis,1/1/2020,3374,162216.0,2.61,981.0527792878668,872.0469149225482,3.11,624.2132690294428,554.8562391372825
15,Indiana,IN,Indianapolis,1/1/2021,4830,190764.0,2.27,1126.298822724787,1001.1545090886996,2.96,720.1433004875288,640.1273782111367
16,North Carolina,NC,Charlotte,1/1/2011,1950,157550.5,3.68,1026.2510742864793,912.2231771435371,4.45,714.2502832630156,634.889140678236
16,North Carolina,NC,Charlotte,1/1/2012,2092,153282.5,2.93,948.0492041388736,842.7104036789989,3.66,631.8628974133652,561.6559088118803
16,North Carolina,NC,Charlotte,1/1/2013,2008,163528.5,3.11,1024.1723046507566,910.3753819117837,3.98,700.9431516920928,623.0605792818602
16,North Carolina,NC,Charlotte,1/1/2014,2118,175227.5,3.29,1111.210496316098,987.7426633920871,4.17,768.4444612148202,683.0617433020625
16,North Carolina,NC,Charlotte,1/1/2015,2131,182745.0,3.09,1142.9357443107008,1015.9428838317341,3.85,771.0512436065956,685.3788832058627
16,North Carolina,NC,Charlotte,1/1/2016,2221,197891.0,2.93,1223.9518865900925,1087.9572325245267,3.65,814.7441696387707,724.2170396789074
16,North Carolina,NC,Charlotte,1/1/2017,2300,215533.0,3.28,1365.8648867196016,1214.1021215285348,3.99,924.9707895884699,822.1962574119732
16,North Carolina,NC,Charlotte,1/1/2018,2166,236953.0,4.0,1577.4414573320144,1402.1701842951238,4.54,1085.619861608031,964.9954325404722
16,North Carolina,NC,Charlotte,1/1/2019,2413,250490.0,3.39,1599.4879139304592,1421.7670346048526,3.94,1068.5062647502891,949.7833464447017
16,North Carolina,NC,Charlotte,1/1/2020,1648,267463.5,2.61,1617.570461810551,1437.8404104982678,3.11,1029.2096074435096,914.8529843942309
16,North Carolina,NC,Charlotte,1/1/2021,2659,319755.0,2.27,1887.8807325300593,1678.116206693386,2.96,1207.0905466827585,1072.9693748291188
17,California,CA,San Francisco,1/1/2011,5893,711068.0,3.68,4631.748543424097,4117.109816376975,4.45,3223.6046246712385,2865.426333041101
